Job Category,Min Salary,Max Salary,Median Salary
Travel Jobs,15936,47500,30000.0
Social work Jobs,15590,26471,21030.5
Scientific & QA Jobs,28500,72000,50250.0
HR & Recruitment Jobs,22500,47500,32350.0
Customer Services Jobs,13440,25500,16500.0
Trade & Construction Jobs,14400,50000,22500.0
Manufacturing Jobs,11884,32640,21600.0
Sales Jobs,14000,50000,27500.0
Other/General Jobs,12048,62499,26500.0
Retail Jobs,30000,55000,35750.0
IT Jobs,14999,93000,39223.0
Legal Jobs,37000,87500,65000.0
Consultancy Jobs,27500,27500,27500.0
Graduate Jobs,24500,24500,24500.0
"Energy, Oil & Gas Jobs",45000,80000,62500.0
Accounting & Finance Jobs,18000,36500,25000.0
Engineering Jobs,18000,67500,37500.0
Admin Jobs,16320,21000,18660.0
"PR, Advertising & Marketing Jobs",11884,70000,35000.0
Creative & Design Jobs,18000,54999,36499.5
Maintenance Jobs,12096,12096,12096.0
Healthcare & Nursing Jobs,19392,53760,31250.0
Property Jobs,22500,22500,22500.0
Hospitality & Catering Jobs,12999,64999,21500.0
Teaching Jobs,16800,54501,31200.0
